,Block,School,School Location,Position,Location,Rating,Salary Low,Salary High,Date Applied,Date Responded,Interested,University Lat,University Long,City Lat,City Long,Distance
0,Teacher,Brown,"Providence, RI",Big Tree Little Preschool,"Vista, California",,27000.0,31000.0,10/25/2019,,,41,-71,33,-117,2572
1,Teacher,Brown,"Providence, RI",Brightmont Academy (AZ),"Deer Valley, AZ",3.5,20.0,23.0,10/25/2019,,,41,-71,33,-112,2311
2,Teacher,Brown,"Providence, RI",Democracy Prep Public Schools,"Las Vegas, NV",2.8,42000.0,56000.0,10/25/2019,,,41,-71,36,-115,2384
3,Teacher,Columbia,"New York, NY",San Jose Christian,"Campbell, California",4.0,84000.0,91000.0,10/25/2019,,,40,-74,37,-121,2526
4,Teacher,Columbia,"New York, NY",Summit Public Schools,"Daly City, California",3.2,57572.0,57572.0,10/25/2019,,,40,-74,37,-122,2578
5,Teacher,Columbia,"New York, NY",Acheivment Prep,"Washington, DC",4.0,34000.0,48000.0,10/25/2019,11/6/2019,Yes,40,-74,38,-77,212
6,Teacher,Cornell,"Ithaca, NY
	",Primrose School of Edina,"Edina, MN",,28000.0,30000.0,10/25/2019,10/29/2019,Yes,42,-76,44,-93,870
7,Teacher,Cornell,"Ithaca, NY",360 Degree Customer,"Sunnyvale, California",3.7,69000.0,93000.0,10/25/2019,,,42,-76,37,-122,2452
8,Teacher,Cornell,"Ithaca, NY",Montessori Academy,"Chicago, IL",4.1,11.0,13.0,10/25/2019,,,42,-76,41,-87,574
9,Teacher,CUNY,"New York, NY",Diocese of Camden,"Camden, NJ",2.5,66000.0,70000.0,10/25/2019,,,40,-74,39,-75,87
10,Teacher,CUNY,"New York, NY",Camden Charter Network,"Camden, NJ",2.8,42000.0,53000.0,10/25/2019,,,40,-74,39,-75,87
11,Teacher,CUNY,"New York, NY",Capital Education,"Pikesville, MD",2.5,14.0,16.0,10/25/2019,,,40,-74,39,-76,127
12,Teacher,Dartmouth,"Hanover, NH	",Panache Enfants,"San Ramon, MD",,15.0,17.0,10/25/2019,,,43,-72,37,-121,2595
13,Teacher,Dartmouth,"Hanover, NH",Academic Acheivers,"Santa Monica, California",5.0,55000.0,59000.0,10/25/2019,11/16/2019,Yes,43,-72,34,-118,2536
14,Teacher,Dartmouth,"Hanover, NH",Sylvan Learning Centers,"Piedmont, California",3.5,11.0,18.0,10/25/2019,,,43,-72,37,-122,2645
15,Teacher,Harvard,"Cambridge, MA",Westminster Early Childhood Education,"Upper Saint Clair, PA",,,,10/25/2019,,,42,-71,40,-80,490
16,Teacher,Harvard,"Cambridge, MA",Joy of Learning,"Miami, Florida",3.0,28000.0,30000.0,10/25/2019,,,42,-71,25,-80,1279
17,Teacher,Harvard,"Cambridge, MA",MPO Solutions,"Dallas, TX",,,,10/25/2019,,,42,-71,32,-96,1537
18,Teacher,MIT,"Cambridge, MA",Keystone School,"San Antonio, TX",,11.0,13.0,10/25/2019,,,42,-71,29,-98,1755
19,Teacher,MIT,"Cambridge, MA",The Aemilian Preschool,"Wauwatosa, WI",4.0,14.0,15.0,10/25/2019,10/28/2019,Yes,42,-71,43,-88,869
20,Teacher,MIT,"Cambridge, MA",The Goddard School,"West Chester, PA",3.2,9.0,14.0,10/25/2019,,,42,-71,39,-75,295
21,Teacher,Penn State,"State College, PA",Little Scholars Early Center,"Mentor, OH",,,,10/25/2019,,,40,-77,41,-81,221
22,Teacher,Penn State,"State College, PA","Olivia, Inc","Shorewood, WI",,13.0,17.0,10/25/2019,10/28/2019,Yes,40,-77,43,-87,558
23,Teacher,Penn State,"State College, PA",Kid's Castle,"Kenosha, WI",,9.0,10.0,10/25/2019,,,40,-77,42,-87,540
24,Teacher,Princeton,"Princeton, NJ",Child Care Associates,"Hurst, TX",3.5,14.0,16.0,10/25/2019,,,40,-74,32,-97,1396
25,Teacher,Princeton,"Princeton, NJ",Feynman School,"Potomac, MD",,49000.0,54000.0,10/25/2019,,,40,-74,39,-77,174
26,Teacher,Princeton,"Princeton, NJ",Kokua,"Philadelphia, PA",3.8,48000.0,52000.0,10/25/2019,10/28/2019,Yes,40,-74,39,-75,87
27,Teacher,Rutgers,"New Brunswick, New Jersey",Greater Quincy Child Care Center,"Quincy, MA",5.0,33000.0,35000.0,10/25/2019,,,40,-74,42,-71,208
28,Teacher,Rutgers,"New Brunswick, New Jersey",Little Kiddies,"Chicago, IL",,,,10/25/2019,,,40,-74,41,-87,687
29,Teacher,Rutgers,"New Brunswick, New Jersey",Willow Creek Learning Center,"Menomonee Falls, WI",,,,10/25/2019,,,40,-74,43,-88,754
30,Teacher,Stanford,"Stanford, California",Tiny Treasurey,"New Lenox, IL",5.0,,,10/25/2019,,,37,-122,41,-87,1891
31,Teacher,Stanford,"Stanford, California",Great Lakers Academy Charter School,"Chicago, IL",,48000.0,75000.0,10/25/2019,,,37,-122,41,-87,1891
32,Teacher,Stanford,"Stanford, California",Junior Manners Company,"San Francisco, California",,,,10/25/2019,,,37,-122,37,-122,0
