Block,School,School Location,Position,Location,Rating,Salary Low,Salary High,Date Applied,Date Responded,Interested
Teacher,Brown,"Providence, RI",Big Tree Little Preschool,"Vista, California",N/A,27000,31000,10/25/2019,,
Teacher,Brown,"Providence, RI",Brightmont Academy (AZ),"Deer Valley, AZ",3.5,20,23,10/25/2019,,
Teacher,Brown,"Providence, RI",Democracy Prep Public Schools,"Las Vegas, NV",2.8,42000,56000,10/25/2019,,
Teacher,Columbia,"New York, NY",San Jose Christian,"Campbell, California",4,84000,91000,10/25/2019,,
Teacher,Columbia,"New York, NY",Summit Public Schools,"Daly City, California",3.2,57572,57572,10/25/2019,,
Teacher,Columbia,"New York, NY",Acheivment Prep,"Washington, DC",4,34000,48000,10/25/2019,11/6/2019,Yes
Teacher,Cornell,"Ithaca, NY
	",Primrose School of Edina,"Edina, MN",N/A,28000,30000,10/25/2019,10/29/2019,Yes
Teacher,Cornell,"Ithaca, NY",360 Degree Customer,"Sunnyvale, California",3.7,69000,93000,10/25/2019,,
Teacher,Cornell,"Ithaca, NY",Montessori Academy,"Chicago, IL",4.1,11,13,10/25/2019,,
Teacher,CUNY,"New York, NY",Diocese of Camden,"Camden, NJ",2.5,66000,70000,10/25/2019,,
Teacher,CUNY,"New York, NY",Camden Charter Network,"Camden, NJ",2.8,42000,53000,10/25/2019,,
Teacher,CUNY,"New York, NY",Capital Education,"Pikesville, MD",2.5,14,16,10/25/2019,,
Teacher,Dartmouth,"Hanover, NH	",Panache Enfants,"San Ramon, MD",N/A,15,17,10/25/2019,,
Teacher,Dartmouth,"Hanover, NH",Academic Acheivers,"Santa Monica, California",5,55000,59000,10/25/2019,11/16/2019,Yes
Teacher,Dartmouth,"Hanover, NH",Sylvan Learning Centers,"Piedmont, California",3.5,11,18,10/25/2019,,
Teacher,Harvard,"Cambridge, MA",Westminster Early Childhood Education,"Upper Saint Clair, PA",N/A,N/A,N/A,10/25/2019,,
Teacher,Harvard,"Cambridge, MA",Joy of Learning,"Miami, Florida",3,28000,30000,10/25/2019,,
Teacher,Harvard,"Cambridge, MA",MPO Solutions,"Dallas, TX",N/A,N/A,N/A,10/25/2019,,
Teacher,MIT,"Cambridge, MA",Keystone School,"San Antonio, TX",N/A,11,13,10/25/2019,,
Teacher,MIT,"Cambridge, MA",The Aemilian Preschool,"Wauwatosa, WI",4,14,15,10/25/2019,10/28/2019,Yes
Teacher,MIT,"Cambridge, MA",The Goddard School,"West Chester, PA",3.2,9,14,10/25/2019,,
Teacher,Penn State,"State College, PA",Little Scholars Early Center,"Mentor, OH",N/A,N/A,N/A,10/25/2019,,
Teacher,Penn State,"State College, PA","Olivia, Inc","Shorewood, WI",N/A,13,17,10/25/2019,10/28/2019,Yes
Teacher,Penn State,"State College, PA",Kid's Castle,"Kenosha, WI",N/A,9,10,10/25/2019,,
Teacher,Princeton,"Princeton, NJ",Child Care Associates,"Hurst, TX",3.5,14,16,10/25/2019,,
Teacher,Princeton,"Princeton, NJ",Feynman School,"Potomac, MD",N/A,49000,54000,10/25/2019,,
Teacher,Princeton,"Princeton, NJ",Kokua,"Philadelphia, PA",3.8,48000,52000,10/25/2019,10/28/2019,Yes
Teacher,Rutgers,"New Brunswick, New Jersey",Greater Quincy Child Care Center,"Quincy, MA",5,33000,35000,10/25/2019,,
Teacher,Rutgers,"New Brunswick, New Jersey",Little Kiddies,"Chicago, IL",N/A,N/A,N/A,10/25/2019,,
Teacher,Rutgers,"New Brunswick, New Jersey",Willow Creek Learning Center,"Menomonee Falls, WI",N/A,N/A,N/A,10/25/2019,,
Teacher,Stanford,"Stanford, California",Tiny Treasurey,"New Lenox, IL",5,N/A,N/A,10/25/2019,,
Teacher,Stanford,"Stanford, California",Great Lakers Academy Charter School,"Chicago, IL",N/A,48000,75000,10/25/2019,,
Teacher,Stanford,"Stanford, California",Junior Manners Company,"San Francisco, California",N/A,N/A,N/A,10/25/2019,,
Teacher,SUNY,"Albany, NY",Jennifer ROsen Meade Preschool,"Bellevue, WA",N/A,18,24,10/25/2019,,
Teacher,SUNY,"Albany, NY",MCC Academy,"Skokie, IL",N/A,N/A,N/A,10/25/2019,,
Teacher,SUNY,"Albany, NY",EJ Kids Klub,"Williston, VT",N/A,14,25,10/25/2019,10/28/2019,Yes
Teacher,UCLA,"Los Angeles, California",Bold Charter School,"Bronx, NY",N/A,N/A,N/A,10/25/2019,10/28/2019,Yes
Teacher,UCLA,"Los Angeles, California",Immaculate Conception School,"Newburyport, MA",N/A,N/A,N/A,10/25/2019,,
Teacher,UCLA,"Los Angeles, California",Legacy Academy Charter School,"Rockford, IL",N/A,N/A,N/A,10/25/2019,,
Teacher,UConn,"Mansfield, Connecticut",Primrose Schools,"Rosewell, GA",2.9,19000,22000,10/25/2019,,
Teacher,UConn,"Mansfield, Connecticut",TLC Schools,"Plano, TX",N/A,14,15,10/25/2019,,
Teacher,UConn,"Mansfield, Connecticut",Kiddie Academy of Gurnee,"Gurnee, IL",N/A,14,16,10/25/2019,,
Teacher,UMassAmherst,"Amherst, Massachusetts",Angie's Angels,"Fremont, OH",N/A,N/A,N/A,10/25/2019,,
Teacher,UMassAmherst,"Amherst, Massachusetts",Learn It Systems,"Chicago, IL",3.5,25,27,10/25/2019,10/28/2019,Yes
Teacher,UMassAmherst,"Amherst, Massachusetts",The Learning Experience,"East Brunswick, NJ",3.2,32000,48000,10/25/2019,,
Teacher,UMassBoston,"Boston, Massachusetts",Montgomery Child Care Association,"Potomac Heights, MD",2.7,17,17,10/25/2019,,
Teacher,UMassBoston,"Boston, Massachusetts",Bamboo Shoots Education,"Westfield, NJ",N/A,N/A,N/A,10/25/2019,,
Teacher,UMassBoston,"Boston, Massachusetts",Young at Heart Center,"Libertyville, IL",N/A,N/A,N/A,10/25/2019,,
Teacher,UNH,"Durham, NH",Education Playcare,"Berlin, CT",3.3,11,16,10/25/2019,10/29/2019,Yes
Teacher,UNH,"Durham, NH",Adventureland Childcare,"Indianapolis, IN",N/A,11,13,10/25/2019,,
Teacher,UNH,"Durham, NH",Kids R Kids,"Conroe, TX",2.9,10,14,10/25/2019,,
Teacher,UPenn,"Philadelphia, PA",Northwest Yeshiva High School,"Mercer Island, WA",N/A,45000,51000,10/25/2019,,
Teacher,UPenn,"Philadelphia, PA","Margaret Fuller Neighborhood House, Inc","Cambridge, MA",N/A,12,14,10/25/2019,,
Teacher,UPenn,"Philadelphia, PA",Transfiguration School,"New York, NY",N/A,N/A,N/A,10/25/2019,,
Teacher,URI,"South Kingstown, Rhode Island",Best in Class Education Center,"Mason, OH",3.9,14,17,10/25/2019,,
Teacher,URI,"South Kingstown, Rhode Island",Elevate K-12,"Chicago, Illinois",4.5,12,20,10/25/2019,,
Teacher,URI,"South Kingstown, Rhode Island",Ashwood Glen,"Burlington, California",N/A,N/A,N/A,10/25/2019,,
Teacher,Yale,"New Haven, CT",PediaStaff,"Maywood, IL",4.9,61000,66000,10/25/2019,10/26/2019,Yes
Teacher,Yale,"New Haven, CT",Heartlight Ministries,"Hallsville, TX",3.8,33,36,10/25/2019,,
Teacher,Yale,"New Haven, CT",Thomas MacLaren SChool,"Colorado Springs, California",N/A,29000,42000,10/25/2019,,
Finance,Brown,"Providence, RI",Cascade Financial Services,"Chandler, AZ",3.5,49000,74000,10/25/2019,,
Finance,Brown,"Providence, RI",Nfluence Partners,"San Francisco, California",5,NA,NA,10/25/2019,,
Finance,Brown,"Providence, RI",Performance Search Group,"Houston, TX",5,NA,NA,10/25/2019,,
Finance,Columbia,"New York, NY",Procore Technologies,"Carpinteria, California",4.2,69000,104000,10/25/2019,10/31/2019,No
Finance,Columbia,"New York, NY",Teleport Group,"Lehi, UT",NA,NA,NA,10/25/2019,,
Finance,Columbia,"New York, NY",Loyola University Health System,"Woburn, MA",2.9,56000,82000,10/25/2019,,
Finance,Cornell,"Ithica, NY",BCG Securities,"Cherry Hill, NJ",4.3,49000,53000,10/25/2019,11/13/2019,Yes
Finance,Cornell,"Ithica, NY","eSolutions, Inc","Overland Park, KS",3.4,36000,53000,10/25/2019,11/6/2019,No
Finance,Cornell,"Ithica, NY",Adroit Resources,"San Francisco, California",4.6,NA,NA,10/25/2019,,
Finance,CUNY,"New York, NY",Bigge Crane and Rigging,"San Leandro, California",4.2,68000,100000,10/25/2019,,
Finance,CUNY,"New York, NY",Ajulia Executive Search,"Princeton, NJ",4,53000,79000,10/25/2019,,
Finance,CUNY,"New York, NY",Study.com,"Mountain View, California",4.9,55000,82000,10/25/2019,,
Finance,Dartmouth,"Hanover, NH",Strategic Delivery Solutions,"Clark, NJ",2.2,NA,NA,10/25/2019,10/28/2019,No
Finance,Dartmouth,"Hanover, NH",Obsidian Entertainment,"Irvine, California",3.7,45000,68000,10/25/2019,,
Finance,Dartmouth,"Hanover, NH",Giti Tire (USA) Ltd,"Fort Mill, SC",2.1,50000,75000,10/25/2019,,
Finance,Harvard,"Cambridge, MA",Somatus,"Mc Lean, VA",5,NA,NA,10/25/2019,,
Finance,Harvard,"Cambridge, MA",BloomReach,"Mountain View, California",4.1,84000,123000,10/25/2019,,
Finance,Harvard,"Cambridge, MA","INDUS Technology, Inc.","Newport, RI",3.1,58000,86000,10/25/2019,,
Finance,MIT,"Cambridge, MA",Denali Federal Credit Union,"Anchorage, AK",4.1,44000,66000,10/25/2019,,
Finance,MIT,"Cambridge, MA",ATBS,"Lakewood, CO",3.6,31000,52000,10/25/2019,,
Finance,MIT,"Cambridge, MA",Brandify,"Anaheim, California",3.8,48000,73000,10/25/2019,10/28/2019,No
Finance,Penn State,"State College, PA",ZWILLING J.A. Henckels,"Pleasantville, NY",2.8,NA,NA,10/25/2019,10/28/2019,Yes
Finance,Penn State,"State College, PA",Jatca,"Atlanta, GA",5,NA,NA,10/25/2019,,
Finance,Penn State,"State College, PA","Joslin Capital Advisors, LLC","Bellevue, WA",NA,NA,NA,10/25/2019,10/31/2019,No
Finance,Princeton,"Princeton, NJ",Johnson Consulting Group,"Scottsdale, AZ",5,NA,NA,10/25/2019,,
Finance,Princeton,"Princeton, NJ",Omada Health,"San Francisco, California",4.2,NA,NA,10/25/2019,10/29/2019,No
Finance,Princeton,"Princeton, NJ",South Coast Community Services,"Mission Viejo, California",2.9,45000,67000,10/25/2019,,
Finance,Rutgers,"New Brunswick, New Jersey","OnesourcePCS, LLC","Washington, DC",NA,NA,NA,10/25/2019,,
Finance,Rutgers,"New Brunswick, New Jersey",Gibson Dunn & Crutcher,"Los Angeles, California",4,45000,68000,10/25/2019,,
Finance,Rutgers,"New Brunswick, New Jersey",Hunken Ewing Financial Group,"Chicago, IL",NA,43000,61000,10/25/2019,,
Finance,Stanford,"Stanford, California",PeopleShare,"King of Prussia, PA",4.7,,,10/25/2019,10/28/2019,Yes
Finance,Stanford,"Stanford, California",Aramco Services Company,"Houston, TX",2.4,89000,129000,10/25/2019,,
Finance,Stanford,"Stanford, California",Gifted Healthcare,"Metrairie, LA",4.7,43000,64000,10/25/2019,10/30/2019,No
Finance,SUNY,"Albany, New York",Dragonfly Group,"San Mateo, California",NA,NA,NA,10/25/2019,,
Finance,SUNY,"Albany, New York",AP Integro,"Waltham, MA",4.3,NA,NA,10/25/2019,,
